Marine,,,,,Cami,,,
window size,Time(s),Accuracy(%),kmer,,window size,Time(s),Accuracy(%),kmer
8,8.97,98.906,14,,8,22,99.812,14
9,8.72,98.822,14,,9,21.41,99.807,14
10,8.54,98.795,14,,10,21.04,99.801,14
11,8.11,98.813,14,,11,20.88,99.809,14
12,8.01,98.701,14,,12,20.02,99.809,14
13,7.97,98.731,14,,13,19.66,99.802,14
14,7.97,98.733,14,,14,18.83,99.804,14
8,9.01,98.729,15,,8,21.88,99.799,15
9,8.77,98.671,15,,9,20.89,99.641,15
10,8.61,98.551,15,,10,21.34,99.458,15
11,8.01,98.662,15,,11,20.61,99.539,15
12,7.61,98.134,15,,12,20.62,99.619,15
13,7.41,98.567,15,,13,19.73,99.332,15
14,7.31,98.023,15,,14,18.03,99.134,15
8,8.41,98.366,16,,8,22.12,99.312,16
9,8.01,98.128,16,,9,20.66,99.232,16
10,7.88,98.041,16,,10,20.89,99.401,16
11,7.89,98.422,16,,11,19.61,99.109,16
12,7.53,98.363,16,,12,19.73,99.009,16
13,7.09,98.071,16,,13,18.83,99.132,16
14,7.13,98.006,16,,14,17.23,99.113,16
8,8.23,98.306,17,,8,19.12,97.812,17
9,8.55,98.122,17,,9,18,97.807,17
10,8.04,98.044,17,,10,17.89,97.901,17
11,7.5,98.073,17,,11,16.61,97.813,17
12,7.11,98.063,17,,12,16.73,97.909,17
13,6.94,97.971,17,,13,14.83,97.83,17
14,6.98,97.886,17,,14,13.95,97.804,17
8,8.56,98.006,18,,8,19.14,96.992,18
9,8.68,98.322,18,,9,18.11,96.807,18
10,8.09,98.195,18,,10,17.65,96.901,18
11,7.77,98.022,18,,11,15.78,96.609,18
12,7.87,97.963,18,,12,16.01,96.709,18
13,6.94,98.03,18,,13,14.34,96.704,18
14,6.33,97.886,18,,14,13.04,96.604,18
8,8.94,97.906,19,,8,18.78,95.912,19
9,8.44,97.322,19,,9,16.11,95.887,19
10,7.91,97.395,19,,10,16.44,95.851,19
11,7.77,97.522,19,,11,15.78,95.819,19
12,8.13,97.863,19,,12,14.01,95.819,19
13,6.94,97.671,19,,13,12.34,95.862,19
14,6.24,97.601,19,,14,11.91,95.944,19
8,9.11,97.606,20,,8,17.78,95.412,20
9,8.02,97.595,20,,9,15.11,95.107,20
10,7.41,97.637,20,,10,15.44,95.101,20
11,7.77,97.61,20,,11,14.78,95.305,20
12,7.54,97.601,20,,12,13.56,94.909,20
13,6.56,97.593,20,,13,13.88,95.102,20
14,6.33,97.571,20,,14,11.81,95.204,20
