Marine,,,,,Cami,,,
window size,Time(s),Accuracy(%),Shape,,window size,Time(s),Accuracy(%),Shape
4,11.1,98.903,1,,4,22.21,99.431,1
5,10.1,98.822,1,,5,21.8,99.031,1
6,9.81,98.795,1,,6,20.27,99.411,1
7,9.9,98.813,1,,7,21.76,99.331,1
8,9.41,98.701,1,,8,21.06,99.131,1
4,10.57,98.911,2,,4,22.23,99.489,2
5,9.47,98.733,2,,5,22.04,99.031,2
6,9.51,98.729,2,,6,21.33,99.011,2
7,9.43,98.671,2,,7,21.56,99.331,2
8,8.48,98.551,2,,8,20.2,99.431,2
4,9.9,98.906,3,,4,22.9,99.852,3
5,9.6,98.134,3,,5,21.73,99.634,3
6,9.79,98.567,3,,6,21.53,99.567,3
7,9.78,98.023,3,,7,21.88,99.523,3
8,9.61,98.366,3,,8,19.77,99.566,3
