Shape,Time(s),Recall,F1 score,Precision,window size,kmer
64,14.36,0.388,0.542,0.9,4,18
64,26.24,0.463,0.606,0.875,4,17
64,33.96,0.497,0.631,0.867,4,16
64,42.5,0.52,0.647,0.856,4,15
64,49.11,0.532,0.653,0.846,4,14
64,55.21,0.539,0.657,0.841,4,13
64,61,0.548,0.662,0.836,4,12
64,66,0.553,0.665,0.832,4,11
64,70,0.558,0.667,0.829,4,10
64,76,0.562,0.669,0.825,4,9
32,13.78,0.383,0.538,0.904,4,18
32,25.04,0.46,0.604,0.879,4,17
32,32.61,0.493,0.629,0.87,4,16
32,40.55,0.517,0.645,0.858,4,15
32,47.05,0.53,0.652,0.849,4,14
32,52.8,0.537,0.656,0.844,4,13
32,59.08,0.546,0.661,0.838,4,12
32,63,0.552,0.664,0.833,4,11
32,67,0.556,0.666,0.83,4,10
32,73,0.561,0.668,0.827,4,9
16,11.8,0.366,0.523,0.916,4,18
16,21.5,0.444,0.593,0.892,4,17
16,28.38,0.479,0.621,0.882,4,16
16,35.32,0.504,0.639,0.87,4,15
16,40.96,0.518,0.646,0.859,4,14
16,46.48,0.527,0.651,0.853,4,13
16,51.37,0.536,0.657,0.847,4,12
16,55.73,0.542,0.66,0.842,4,11
16,59.68,0.548,0.662,0.838,4,10
16,64,0.552,0.664,0.834,4,9
8,8.57,0.331,0.488,0.929,4,18
8,15.68,0.41,0.565,0.909,4,17
8,20.5,0.449,0.598,0.898,4,16
8,25.56,0.476,0.62,0.89,4,15
8,30.18,0.491,0.631,0.88,4,14
8,34.54,0.501,0.637,0.872,4,13
8,38.63,0.513,0.644,0.866,4,12
8,42.2,0.52,0.648,0.861,4,11
8,45.09,0.526,0.652,0.857,4,10
8,48.93,0.531,0.655,0.853,4,9
4,5.47,0.282,0.435,0.943,4,18
4,9.6,0.359,0.517,0.926,4,17
4,12.84,0.399,0.556,0.918,4,16
4,16.16,0.43,0.584,0.912,4,15
4,19.15,0.448,0.599,0.904,4,14
4,21.96,0.461,0.61,0.898,4,13
4,24.81,0.474,0.619,0.893,4,12
4,27.39,0.482,0.625,0.887,4,11
4,29.61,0.489,0.629,0.882,4,10
4,32.36,0.496,0.634,0.879,4,9
2,3.52,0.227,0.366,0.956,4,18
2,5.78,0.302,0.457,0.946,4,17
2,7.68,0.342,0.501,0.94,4,16
2,9.68,0.373,0.533,0.934,4,15
2,11.4,0.393,0.552,0.927,4,14
2,13.17,0.409,0.567,0.923,4,13
2,14.95,0.423,0.579,0.918,4,12
2,16.55,0.432,0.587,0.913,4,11
2,18.15,0.441,0.594,0.909,4,10
2,19.78,0.449,0.601,0.906,4,9
64,6.62,0.356,0.515,0.934,5,18
64,11.44,0.419,0.575,0.916,5,17
64,14.86,0.445,0.597,0.906,5,16
64,17.41,0.46,0.609,0.9,5,15
64,20.33,0.475,0.62,0.895,5,14
